part,category,korean,english,time_limit_sec
Part 3,비교하기,"그것은 제 스트레스를 풀어줘요. 저는 요즘 스트레스를 많이 받아요. 그래서 그것이 필요해요.","It relieves my stress. I'm stressed out these days. So, I need it",30
Part 3,비교하기,그것은 더 저렴해서 저는 돈을 절약할 수 있어요.,"It's cheaper, so I can save money",30
Part 3,비교하기,가격이 합리적이에요.,The price is reasonable,30
Part 3,비교하기,그것은 더 빨라서 저는 시간을 절약할 수 있어요.,"It's faster, so I can save time",30
Part 3,정보 얻기,저는 친구들로부터 많은 유용한 정보를 얻을 수 있어요.,I can get a lot of useful information from my friends,30
Part 3,정보 얻기,그것은 더 믿을만해서 그 정보는 더 신뢰가 가요.,"It's more reliable, so the information is more trustworthy",30
Part 3,정보 얻기,저는 언제 어디서든 스마트폰으로 정보를 얻을 수 있어요.,I can get information anytime anywhere on my smartphone,30
Part 3,좋은 시설과 핫플레이스,그것은 훌륭한 시설을 갖추고 있어요.,It has great facilities,30
Part 3,좋은 시설과 핫플레이스,그곳은 인기 있는 곳이라서 사람들이 좋아해요.,"It's a well-liked place, so people love it",30
Part 3,좋은 시설과 핫플레이스,그것들은 너무 오래되어서 새것으로 바꾸는 것이 좋을 것 같아요.,"They are too old, so I think it's good to have new ones.",30
Part 3,좋은 시설과 핫플레이스,"여기 더 많은 가게가 더 있다면, 이곳은 더 편리할 거예요.","If we had more stores here, it would be more convenient",30
Part 3,예산 부족,저는 학생이라서 예산이 빠듯해요.,"I'm a student, so my budget is tight",30
Part 3,예산 부족,저는 비싼 물건을 살 여유가 없어요.,I can't afford to buy expensive things,30
Part 3,예산 부족,저는 그것에 너무 많은 돈을 낭비하고 싶지 않아요.,I don't want to waste too much money on that,30
Part 3,예산 부족,그것은 돈 낭비예요.,It's waste of money,30
Part 3,시간 부족,저는 학생이라서 학업에 바빠요.,"I'm a student, so I'm busy with my schoolwork.",30
Part 3,시간 부족,저는 시간이 별로 없어요.,I don't have much time,30
Part 3,시간 부족,저는 그것에 시간을 낭비하고 싶지 않아요.,I don't want to waste time on that,30
Part 3,시간 부족,그것은 시간 낭비예요.,It's a waste of time,30
Part 3,필요한 것,그것은 저에게 꼭 필요해요.,It's necessary for me,30
Part 3,필요한 것,저는 그것을 자주 이용해요.,I frequently use it,30
Part 3,"좋은 경험, 믿을 수 있는 선택","그것은 저를 행복하게 해 주고, 좋은 경험을 할 수 있게 해 줘요.",It makes me happy and I can have a great experience,30
Part 3,"좋은 경험, 믿을 수 있는 선택",그들은 좋은 환경과 즐거운 경험을 제공해요.,They provide a good environment and a pleasant experience,30
Part 3,"좋은 경험, 믿을 수 있는 선택",저는 새로운 것에 도전하는 것을 좋아해요.,I like to try new things,30
Part 3,"좋은 경험, 믿을 수 있는 선택",그것은 믿을만해서 저는 그 제품을 신뢰할 수 있어요.,"It's reliable, so I can trust the product",30
Part 3,"좋은 경험, 믿을 수 있는 선택",그것은 인기 있는 상품이라서 사람들이 좋아할 거예요.,"It's a popular item, so people will love it",30
Part 3,"좋은 경험, 믿을 수 있는 선택",그것은 정서적인 가치를 담고 있어요.,It has sentimental value,30
Part 3,"좋은 경험, 믿을 수 있는 선택",그것은 좋은 선물이에요.,It's a good gift,30
Part 3,일상과 감정표현,그것은 제 일상의 일부예요.,It's part of my routine,30
Part 3,일상과 감정표현,그것은 제 습관이에요.,It's my habit,30
Part 3,일상과 감정표현,저는 그것이 정말 좋았어요.,I really liked it,30
Part 3,일상과 감정표현,그것은 훌륭했어요.,It was great,30
Part 3,일상과 감정표현,그것은 근사했어요.,It was awesome,30
Part 3,선택의 이유,그것은 더 싸고 더 빨라요.,It's cheaper and faster,30
Part 3,선택의 이유,그것은 매우 편리하고 유용해요.,It's very convenient and useful,30
Part 3,선택의 이유,그것은 저에게 매우 도움이 돼요.,It's very helpful to me,30
Part 3,선택의 이유,그것은 제가 가장 좋아하는 일이에요.,It's my favorite thing to do,30
Part 3,선택의 이유,그것은 저를 행복하게 해줘서 저는 걱정을 잊을 수 있어요.,"It makes me happy, so I can forget about my worries",30
Part 3,혼자vs같이,그것은 더 재미있고 흥미로워서 저는 지루해지지 않아요.,"It's more fun and entertaining, so I don't get bored",30
Part 3,혼자vs같이,저는 단체로 하는 것이 더 재미있다고 생각해요.,I think it's more fun to do things in a group,30
Part 3,혼자vs같이,저는 새로운 사람들을 만나고 친구를 사귈 수 있어요.,I can meet new people and make friends,30
